:START_ID,:END_ID,:TYPE,source_caseid
1000001,BNS_318,CHARGED_UNDER,1000001
1000001,BNS_319,CHARGED_UNDER,1000001
1000001,ITACT_66C,CHARGED_UNDER,1000001
1000001,ITACT_66D,CHARGED_UNDER,1000001
1000002,BNS_318,CHARGED_UNDER,1000002
1000002,BNS_319,CHARGED_UNDER,1000002
1000002,ITACT_66C,CHARGED_UNDER,1000002
1000002,ITACT_66D,CHARGED_UNDER,1000002
1000003,BNS_318,CHARGED_UNDER,1000003
1000003,BNS_319,CHARGED_UNDER,1000003
1000003,ITACT_66C,CHARGED_UNDER,1000003
1000003,ITACT_66D,CHARGED_UNDER,1000003
1000004,BNS_318,CHARGED_UNDER,1000004
1000004,BNS_319,CHARGED_UNDER,1000004
1000004,ITACT_66C,CHARGED_UNDER,1000004
1000004,ITACT_66D,CHARGED_UNDER,1000004
1000005,BNS_318,CHARGED_UNDER,1000005
1000005,ITACT_66D,CHARGED_UNDER,1000005
1000006,BNS_319,CHARGED_UNDER,1000006
1000006,ITACT_66C,CHARGED_UNDER,1000006
1000007,BNS_318,CHARGED_UNDER,1000007
1000007,BNS_319,CHARGED_UNDER,1000007
1000007,ITACT_66D,CHARGED_UNDER,1000007
1000008,BNS_318,CHARGED_UNDER,1000008
1000008,BNS_319,CHARGED_UNDER,1000008
1000008,ITACT_66C,CHARGED_UNDER,1000008
1000008,ITACT_66D,CHARGED_UNDER,1000008
1000009,BNS_318,CHARGED_UNDER,1000009
1000009,ITACT_66D,CHARGED_UNDER,1000009
1000009,PMLA_3,CHARGED_UNDER,1000009
1000010,BNS_318,CHARGED_UNDER,1000010
1000010,ITACT_66D,CHARGED_UNDER,1000010
1000011,BNS_318,CHARGED_UNDER,1000011
1000011,ITACT_66D,CHARGED_UNDER,1000011
1000012,BNS_318,CHARGED_UNDER,1000012
1000012,ITACT_66D,CHARGED_UNDER,1000012
1000013,BNS_318,CHARGED_UNDER,1000013
1000013,ITACT_66D,CHARGED_UNDER,1000013
1000014,BNS_318,CHARGED_UNDER,1000014
1000014,ITACT_66D,CHARGED_UNDER,1000014
1000015,BNS_318,CHARGED_UNDER,1000015
1000015,ITACT_66D,CHARGED_UNDER,1000015
1000016,BNS_318,CHARGED_UNDER,1000016
1000016,ITACT_66D,CHARGED_UNDER,1000016
1000017,BNS_318,CHARGED_UNDER,1000017
1000017,ITACT_66D,CHARGED_UNDER,1000017
1000018,BNS_318,CHARGED_UNDER,1000018
1000018,ITACT_66D,CHARGED_UNDER,1000018
1000019,BNS_318,CHARGED_UNDER,1000019
1000019,ITACT_66D,CHARGED_UNDER,1000019
1000020,BNS_318,CHARGED_UNDER,1000020
1000020,ITACT_66D,CHARGED_UNDER,1000020
