:START_ID,:END_ID,:TYPE
1000001,Mysuru,OCCURRED_IN
1000002,Mangaluru,OCCURRED_IN
1000003,Hubballi-Dharwad,OCCURRED_IN
1000004,Hassan,OCCURRED_IN
1000005,Bengaluru Urban,OCCURRED_IN
1000006,Tumakuru,OCCURRED_IN
1000007,Bengaluru Urban,OCCURRED_IN
1000008,Belagavi,OCCURRED_IN
1000009,Dharwad,OCCURRED_IN
1000010,Bengaluru Urban,OCCURRED_IN
1000011,Bengaluru Urban,OCCURRED_IN
1000012,Mysuru,OCCURRED_IN
1000013,Davanagere,OCCURRED_IN
1000014,Hubballi-Dharwad,OCCURRED_IN
1000015,Shivamogga,OCCURRED_IN
1000016,Bengaluru Urban,OCCURRED_IN
1000017,Bengaluru Urban,OCCURRED_IN
1000018,Chikkaballapur,OCCURRED_IN
1000019,Mangaluru,OCCURRED_IN
1000020,Bengaluru Urban,OCCURRED_IN
1000021,Davanagere,OCCURRED_IN
1000022,Hubballi-Dharwad,OCCURRED_IN
1000023,Chikkaballapur,OCCURRED_IN
1000024,Chikkaballapur,OCCURRED_IN
1000025,Chikkaballapur,OCCURRED_IN
1000026,Chikkaballapur,OCCURRED_IN
1000027,Mangaluru,OCCURRED_IN
1000028,Hassan,OCCURRED_IN
1000029,Bengaluru Urban,OCCURRED_IN
1000030,Bengaluru Urban,OCCURRED_IN
1000031,Hassan,OCCURRED_IN
1000032,Bengaluru Urban,OCCURRED_IN
1000033,Bengaluru Urban,OCCURRED_IN
1000034,Kolar,OCCURRED_IN
1000035,Bengaluru Urban,OCCURRED_IN
1000036,Bengaluru Urban,OCCURRED_IN
1000037,Bengaluru Urban,OCCURRED_IN
1000038,Bengaluru Urban,OCCURRED_IN
1000039,Udupi,OCCURRED_IN
1000040,Bengaluru Urban,OCCURRED_IN
1000041,Ballari,OCCURRED_IN
1000042,Vijayapura,OCCURRED_IN
1000043,Bengaluru Urban,OCCURRED_IN
1000044,Chikkaballapur,OCCURRED_IN
1000045,Bengaluru Urban,OCCURRED_IN
1000046,Bengaluru Urban,OCCURRED_IN
1000047,Bengaluru Urban,OCCURRED_IN
1000048,Bengaluru Urban,OCCURRED_IN
1000049,Bengaluru Urban,OCCURRED_IN
1000050,Bengaluru Urban,OCCURRED_IN
1000051,Bengaluru Urban,OCCURRED_IN
1000052,Bengaluru Urban,OCCURRED_IN
1000053,Vijayapura,OCCURRED_IN
1000054,Bengaluru Urban,OCCURRED_IN
1000055,Bengaluru Urban,OCCURRED_IN
1000056,Bengaluru Urban,OCCURRED_IN
1000057,Bengaluru Urban,OCCURRED_IN
1000058,Bengaluru Urban,OCCURRED_IN
1000059,Bengaluru Urban,OCCURRED_IN
1000060,Bengaluru Urban,OCCURRED_IN
1000061,Kalaburagi,OCCURRED_IN
1000062,Bengaluru Urban,OCCURRED_IN
